"collision_index","vehicle_reference","vehicle_type","vehicle_manoeuvre","junction_location","skidding_and_overturning","hit_object_in_carriageway","first_point_of_impact","sex_of_driver","age_of_driver","engine_capacity_cc","propulsion_code","age_of_vehicle"
"2025000000047",3,9,4,2,0,0,2,1,57,1796,1,9
"2025000000047",1,21,19,2,0,0,1,1,45,16353,2,2
"2025000000048",2,9,9,0,0,0,4,1,24,2982,2,6
"2025000000048",1,9,19,0,0,0,1,1,43,1560,2,11
"2025000000049",1,11,19,8,0,0,1,1,44,9360,2,14
"2025000000049",2,9,11,8,0,0,2,2,55,999,1,2
"2025000000050",1,21,19,0,0,0,1,1,29,12777,2,4
"2025000000050",2,9,19,0,0,0,2,1,21,1582,2,11
"2025000000051",2,9,99,9,9,99,1,3,34,1498,1,0
"2025000000051",1,9,99,9,9,99,2,1,49,2925,2,6
"2025000000052",1,9,1,0,0,0,1,1,70,2231,2,13
"2025000000053",1,9,19,0,0,0,1,1,32,2698,2,14
"2025000000054",2,9,-1,4,0,0,3,1,23,988,1,4
"2025000000054",1,9,-1,8,1,0,3,1,20,-1,-1,-1
"2025000000055",2,4,19,1,0,0,1,1,27,125,1,1
"2025000000055",1,9,9,8,0,0,4,1,49,1595,1,18
"2025000000056",1,9,9,8,0,0,4,1,39,1995,2,7
"2025000000056",2,9,19,1,0,0,3,2,18,998,1,5
"2025000000057",1,9,19,1,0,0,1,1,54,1329,1,12
"2025000000058",1,9,19,8,0,0,1,2,65,1997,2,8
"2025000000058",2,1,19,8,0,0,3,2,61,-1,-1,-1
"2025000000059",1,9,19,0,0,0,1,1,79,1968,2,16
"2025000000059",3,19,19,0,0,0,1,1,51,2198,2,10
"2025000000059",5,9,19,0,0,0,2,1,76,1560,2,8
"2025000000059",4,9,19,0,0,0,1,1,33,1998,2,14
"2025000000059",2,9,19,0,0,0,1,1,52,3189,1,14
"2025000000060",1,9,9,6,0,0,3,2,34,998,1,3
"2025000000060",2,9,19,8,0,0,1,2,40,1968,2,8
"2025000000061",1,9,19,8,0,0,1,2,37,1992,2,18
"2025000000061",2,9,19,8,0,0,3,1,57,-1,-1,-1
"2025000000062",1,1,19,1,0,0,3,2,18,-1,-1,-1
"2025000000062",2,9,19,1,0,0,1,3,-1,-1,-1,-1
"2025000000063",1,9,19,8,0,0,4,1,83,996,1,8
"2025000000063",2,19,19,8,1,0,1,1,40,1968,2,3
"2025000000064",1,9,9,4,0,0,1,1,86,1598,1,7
"2025000000064",2,9,19,4,0,0,1,1,84,1197,1,8
"2025000000065",2,1,19,1,0,0,1,1,40,-1,-1,-1
"2025000000065",1,9,10,6,0,0,1,2,43,1490,1,16
"2025000000066",1,9,19,0,0,0,1,1,35,1968,2,15
"2025000000067",1,9,19,0,0,0,4,1,30,1991,1,2
"2025000000067",2,9,19,0,0,0,0,2,28,1998,8,6
"2025000000068",1,9,3,0,0,0,1,1,-1,1995,2,12
"2025000000068",2,9,19,0,0,0,2,2,38,1461,2,6
"2025000000069",1,1,99,9,9,99,9,2,26,-1,-1,-1
"2025000000069",2,19,99,9,9,99,9,3,-1,-1,-1,-1
"2025000000070",1,5,19,1,0,0,1,1,36,1450,1,20
"2025000000071",1,9,5,1,0,0,4,1,38,1995,1,14
"2025000000071",2,9,19,1,0,0,4,2,43,1596,1,11
"2025000000072",1,9,7,6,0,0,1,1,-1,1386,1,13
"2025000000073",1,19,9,3,0,0,1,1,64,1995,2,9
"2025000000074",1,11,5,2,0,0,0,1,59,4500,2,9
"2025000000075",2,9,19,0,0,0,1,2,38,1242,1,9
"2025000000075",1,9,19,0,0,0,1,1,25,1598,1,16
"2025000000076",1,9,19,0,0,0,4,2,51,1956,2,12
"2025000000077",2,9,4,1,0,0,2,3,-1,2993,2,7
"2025000000077",1,11,4,1,0,0,1,1,29,5132,2,2
"2025000000078",1,11,99,9,9,99,0,1,31,4500,2,13
"2025000000079",2,19,19,2,0,0,1,1,28,1995,2,1
"2025000000079",1,9,19,1,0,0,1,1,50,-1,-1,-1
"2025000000079",3,9,7,6,0,0,0,3,-1,-1,-1,-1
"2025000000080",1,4,14,0,0,0,1,1,25,125,1,5
"2025000000080",2,4,19,0,0,0,1,1,17,124,1,1
"2025000000081",1,9,19,0,0,7,1,1,72,-1,-1,-1
"2025000000081",3,9,4,0,0,0,2,1,27,1499,2,3
"2025000000081",2,9,4,0,0,0,2,2,43,1796,1,17
"2025000000082",1,9,19,1,0,0,1,1,36,-1,-1,-1
"2025000000083",2,9,19,0,0,0,2,1,29,1995,2,5
"2025000000083",1,98,12,0,0,0,1,1,38,-1,-1,-1
"2025000000084",2,9,99,9,9,99,9,3,-1,-1,-1,-1
"2025000000084",1,3,99,9,9,99,1,1,21,125,1,1
"2025000000085",1,9,19,2,0,0,1,2,23,1299,1,18
"2025000000086",1,8,19,0,0,0,1,1,41,1598,2,10
"2025000000087",2,9,99,9,9,99,1,3,34,1798,8,6
"2025000000087",1,1,99,9,9,99,1,1,28,-1,-1,-1
"2025000000088",1,9,5,0,0,0,2,2,31,1461,2,12
"2025000000088",3,21,5,0,0,0,2,1,36,12742,2,2
"2025000000088",2,9,19,0,0,0,1,2,38,1997,2,7
"2025000000089",1,9,5,1,0,0,1,1,70,1364,1,5
"2025000000089",2,2,19,6,5,0,1,1,32,125,1,5
"2025000000090",1,5,19,0,1,11,3,1,47,1050,1,7
"2025000000091",1,9,19,1,0,0,0,2,57,1242,1,14
"2025000000092",1,9,19,0,1,10,1,1,15,1390,1,18
"2025000000092",4,19,2,0,0,0,4,-1,-1,2198,2,8
"2025000000092",3,19,2,0,0,0,4,-1,-1,2198,2,9
"2025000000092",2,9,2,0,0,0,1,-1,-1,4367,2,9
"2025000000093",1,8,5,0,0,0,3,1,47,1560,2,8
"2025000000094",1,9,-1,-1,-1,-1,4,2,45,2143,2,5
"2025000000094",2,1,-1,-1,-1,-1,3,1,21,-1,-1,-1
